,Data,Close,High,Low,Open,Volume
0,2012-05-18,38.085,44.829,37.855,41.89,573576400
1,2012-05-21,33.901,36.52,32.874,36.391,168192700
2,2012-05-22,30.882,33.462,30.822,32.486,101786600
3,2012-05-23,31.878,32.376,31.241,31.251,73600000
4,2012-05-24,32.904,33.084,31.649,32.825,50237200
5,2012-05-25,31.789,32.825,30.992,32.775,37149800
6,2012-05-29,28.73,31.569,28.541,31.36,78063400
7,2012-05-30,28.083,29.438,27.754,28.591,57267900
8,2012-05-31,29.487,29.557,26.728,28.441,111639200
9,2012-06-01,27.615,29.039,27.286,28.78,41855500
10,2012-06-04,26.798,27.545,26.339,27.096,35230300
11,2012-06-05,25.772,27.654,25.652,26.598,42473400
12,2012-06-06,26.708,27.067,25.423,25.971,61489200
13,2012-06-07,26.21,27.246,26.05,26.897,26159500
14,2012-06-08,26.997,27.654,26.339,26.449,38034000
15,2012-06-11,26.907,27.963,26.738,27.077,28219600
16,2012-06-12,27.296,27.664,26.857,27.375,15816800
17,2012-06-13,27.166,27.993,26.997,27.555,17102800
18,2012-06-14,28.182,28.212,27.276,27.545,16855000
19,2012-06-15,29.896,29.985,28.242,28.402,43563800
20,2012-06-18,31.29,31.958,29.298,29.846,42978900
21,2012-06-19,31.789,32.058,30.583,31.42,30849000
22,2012-06-20,31.48,31.808,31.031,31.799,15553600
23,2012-06-21,31.719,32.376,31.39,31.549,21875300
24,2012-06-22,32.924,33.323,31.938,32.287,74834000
25,2012-06-25,31.938,32.894,31.43,32.735,24352900
26,2012-06-26,32.974,33.313,32.376,32.566,24858700
27,2012-06-27,32.107,32.775,31.779,32.336,28568000
28,2012-06-28,31.241,32.068,30.782,31.838,17713300
29,2012-06-29,30.982,31.868,30.643,31.799,19526900
30,2012-07-02,30.653,31.609,30.434,31.131,14122000
31,2012-07-03,31.081,31.32,30.683,30.792,8763600
32,2012-07-05,31.35,31.51,30.902,31.201,10032100
33,2012-07-06,31.609,31.779,31.141,31.32,10945600
34,2012-07-09,32.048,32.755,31.868,31.978,17785200
35,2012-07-10,31.35,32.356,31.041,32.307,14269500
36,2012-07-11,30.852,31.44,30.434,31.36,13030300
37,2012-07-12,30.693,31.281,30.484,30.583,11300700
38,2012-07-13,30.603,30.952,30.444,30.922,8108300
39,2012-07-16,28.142,30.384,28.103,30.384,24672100
40,2012-07-17,27.983,28.481,27.047,28.372,30438600
41,2012-07-18,28.999,29.179,28.043,28.202,16841800
42,2012-07-19,28.89,29.388,28.521,29.298,13685100
43,2012-07-20,28.651,29.358,28.611,28.89,11869100
44,2012-07-23,28.641,28.89,27.903,28.013,12390700
45,2012-07-24,28.342,29.338,27.993,28.71,11539800
46,2012-07-25,29.228,29.378,27.973,28.282,17230200
47,2012-07-26,26.748,28.123,26.628,27.644,64597400
48,2012-07-27,23.62,24.447,22.195,23.102,123102300
49,2012-07-30,23.062,23.949,22.942,23.909,29285900
